[2026-04-19T20:28:48.879Z] GET https://developers.figma.com/assets/js/main.77d4d9ba.js → 200 (?ms, 1046121B)
[2026-04-19T20:28:48.914Z] GET https://static.figma.com/webfont/1/Figma-Standard-Text-Regular.woff2 → 200 (1ms, ?B)
[2026-04-19T20:28:48.915Z] GET https://static.figma.com/webfont/1/Figma-Standard-Text-Medium.woff2 → 200 (?ms, ?B)
[2026-04-19T20:28:48.915Z] GET https://static.figma.com/webfont/1/Figma-Standard-Text-Bold.woff2 → 200 (?ms, ?B)
[2026-04-19T20:28:49.042Z] GET https://cdn.sprig.com/shim.js?id=YWwyCyGyqg → 200 (?ms, 93096B)
[2026-04-19T20:28:49.043Z] GET https://developers.figma.com/assets/js/5e95c892.913b7b8e.js → 200 (5ms, 378B)
[2026-04-19T20:28:49.043Z] GET https://developers.figma.com/assets/js/fbcd28be.4d2aea8b.js → 200 (5ms, 226B)
[2026-04-19T20:28:49.043Z] GET https://developers.figma.com/assets/js/a7bd4aaa.46f710ed.js → 200 (5ms, 732B)
[2026-04-19T20:28:49.043Z] GET https://developers.figma.com/assets/js/23980ce4.66e7738c.js → 200 (5ms, 8211B)
[2026-04-19T20:28:49.043Z] GET https://developers.figma.com/assets/js/a94703ab.9f020c9f.js → 200 (6ms, 11905B)
[2026-04-19T20:28:49.043Z] GET https://developers.figma.com/assets/js/49227.25aed952.js → 200 (1ms, 24625B)
[2026-04-19T20:28:49.044Z] GET https://developers.figma.com/assets/js/17896441.cef22b97.js → 200 (5ms, 14656B)
[2026-04-19T20:28:49.044Z] GET https://developers.figma.com/assets/js/bb896ad0.79b79454.js → 200 (5ms, 17050B)
[2026-04-19T20:28:49.085Z] POST https://www.figma.com/api/figment-proxy/put → 200 (543ms, 108B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/5e95c892.913b7b8e.js → 200 (5ms, 378B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/fbcd28be.4d2aea8b.js → 200 (6ms, 226B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/a7bd4aaa.46f710ed.js → 200 (6ms, 732B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/23980ce4.66e7738c.js → 200 (6ms, 8211B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/a94703ab.9f020c9f.js → 200 (6ms, 11905B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/17896441.cef22b97.js → 200 (6ms, 14656B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/13cb4fc8.c54a8b6a.js → 200 (6ms, 7340B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/518fd2a1.3cb98134.js → 200 (7ms, 6975B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/7747b91f.efeebc98.js → 200 (7ms, 19116B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/04e8bd60.fc4f57c5.js → 200 (7ms, 30624B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/1df93b7f.3a897d24.js → 200 (7ms, 72716B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/a7456010.7795eec0.js → 200 (7ms, 208B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/5d4e2826.81c48819.js → 200 (7ms, 6289B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/bb896ad0.79b79454.js → 200 (7ms, 17050B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/c4454349.a9da31a2.js → 200 (7ms, 19356B)
[2026-04-19T20:28:49.116Z] GET https://developers.figma.com/assets/js/816663dd.a79743e2.js → 200 (7ms, 11362B)
[2026-04-19T20:28:49.117Z] GET https://developers.figma.com/assets/js/156b232f.13639ee6.js → 200 (7ms, 13136B)
[2026-04-19T20:28:49.117Z] GET https://developers.figma.com/assets/js/98d92a70.6cc06e18.js → 200 (7ms, 7977B)
[2026-04-19T20:28:49.117Z] GET https://developers.figma.com/assets/js/528c0f96.36db9044.js → 200 (7ms, 13662B)
[2026-04-19T20:28:49.117Z] GET https://developers.figma.com/assets/js/334add35.d16ec0bc.js → 200 (8ms, 30095B)
[2026-04-19T20:28:49.117Z] GET https://developers.figma.com/assets/js/95ff11d4.42a0ce0b.js → 200 (8ms, 10972B)
[2026-04-19T20:28:49.117Z] GET https://developers.figma.com/assets/js/ed400d99.f344e291.js → 200 (8ms, 48259B)
[2026-04-19T20:28:49.127Z] GET https://api.sprig.com/sdk/1/environments/YWwyCyGyqg/config → pending (?ms, ?B)
[2026-04-19T20:28:50.102Z] POST https://api.sprig.com/sdk/1/visitors/a950053b-3f32-4cd4-84d6-e921c5a66df5/events → pending (?ms, ?B)
[2026-04-19T20:28:59.731Z] GET https://developers.figma.com/docs/code-connect/template-api/ → pending (?ms, ?B)
[2026-04-19T20:29:00.245Z] GET https://developers.figma.com/assets/css/styles.4f1578d2.css → 200 (?ms, 462312B)
[2026-04-19T20:29:00.245Z] GET https://developers.figma.com/assets/js/runtime~main.fcbe0ea7.js → 200 (1ms, 55046B)
[2026-04-19T20:29:00.246Z] GET https://developers.figma.com/assets/js/main.77d4d9ba.js → 200 (?ms, 1046121B)
[2026-04-19T20:29:00.303Z] GET https://static.figma.com/webfont/1/Figma-Standard-Text-Regular.woff2 → 200 (1ms, ?B)
